prompt,completion
Given chess position: 2r3k1/5ppp/p7/8/8/4Q3/PPP2PPP/2K5 w - - 0 1. What is the best move? Answer:,e3e8
Given chess position: rnb1k1nr/pp1p1ppp/1qp5/4p3/8/P1b1P2N/1PPPKPPP/RNBQ1BR1 w kq - 9 8. Is the move e3e4 legal? Answer:,legal
Given chess position: 2bq1b1r/rpp3pQ/p2k1p1n/3pn3/3P1P1P/N3PN2/PP4P1/R1B1KB1R b - - 0 14. Is the move a1h8 legal? Answer:,illegal
Given chess position: rnb1nb1r/pp1pp1pp/4k1q1/2p2p2/2P1N1Q1/1P1PP3/P4PPP/R1B1KBNR b K - 4 9. What special moves are available? Answer:,castling
Given chess position: rnb1k2r/p2q3p/1pp1pnp1/3pNp2/PB1P1P2/8/1PPKP1PP/RN1Q1BR1 w - - 0 15. What special moves are available? Answer:,none
Given chess position: 1n5r/r1q1p1kp/3p1n2/ppp1N1P1/1P1P1p2/7b/P1P1PPB1/R2QK1NR w KQ - 4 15. What special moves are available? Answer:,castling
Given chess position: r1bq1bnr/p1nk2pp/1p6/2pp2P1/4pp2/PP1PPPN1/R1P3BP/1NBQK2R b - - 3 13. What special moves are available? Answer:,none
Given chess position: r1b1kbnr/p3p2p/1ppq1p2/1B4pP/1P4P1/P1P1p3/3P1P2/RNBQK1NR b KQk - 0 12. Is the move a1h8 legal? Answer:,illegal
Given chess position: 2r3k1/5ppp/p7/8/8/4Q3/PPP2PPP/2K5 w - - 0 1. What is the best move? Answer:,e3e8
Given chess position: rnbq1bnr/ppppkpp1/4p2p/7B/2P1P3/6P1/PP1P1P1P/RNBQK1NR w KQ - 4 6. What special moves are available? Answer:,castling
Given chess position: 8/8/8/8/8/8/KP6/k7 w - - 0 1. What is the best move? Answer:,b2b4
Given chess position: 2r3k1/5ppp/p7/8/8/4Q3/PPP2PPP/2K5 w - - 0 1. What is the best move? Answer:,e3e8
Given chess position: rnq1kb1r/pbpppp1p/5n2/1p4pQ/N7/3PP1PN/PPP2P1P/R1B1KB1R b KQkq - 6 8. Is the move a1h8 legal? Answer:,illegal
Given chess position: rnb1kbn1/3qp3/1ppp2pr/5pQ1/1pP1P2p/1PNB3P/P2P1PP1/R3K1NR b KQq - 1 13. What special moves are available? Answer:,castling
Given chess position: rqb1kb1r/5p1p/npp1pnp1/p2p4/2P1P1P1/1QN1K3/PP1P1P1P/R1B2BNR w kq - 1 11. Is the move a1h8 legal? Answer:,illegal
Given chess position: r1b1kb2/ppq1np2/2p2npQ/3pp3/P5PP/1P1P4/2P1PP2/RNB1KBNR w KQ - 3 12. Is the move c1a3 legal? Answer:,legal
Given chess position: 8/8/8/8/8/8/KP6/k7 w - - 0 1. What is the best move? Answer:,b2b4
Given chess position: rnb1kbr1/pp1pp2p/6pn/q7/2pN1Pp1/P1PP2K1/1P2P2P/RNBQ1B1R b q - 1 9. What special moves are available? Answer:,castling
Given chess position: rnq2b1r/pppkpppp/4bn2/3p4/P4P2/3PP2N/1PPB2PP/RN1QKB1R b KQ - 0 7. What special moves are available? Answer:,castling
Given chess position: rn1qkbnr/pp2ppp1/3p3p/2p5/P2N4/3P2P1/1PP1PPbP/R1BQKBNR b KQkq - 0 6. What special moves are available? Answer:,"castling, en passant"
Given chess position: 2r3k1/5ppp/p7/8/8/4Q3/PPP2PPP/2K5 w - - 0 1. What is the best move? Answer:,e3e8
Given chess position: r1bqkbr1/1ppp3p/2n2n2/p3ppp1/P2P1B2/N6P/1PP1PPP1/RQ2KBNR b KQq - 0 10. What special moves are available? Answer:,castling
Given chess position: rnbqkb1r/1p2p1p1/p1pp1p2/6Bp/2PP4/N3PP2/PP4PP/R2QKBNR b KQkq - 0 7. What special moves are available? Answer:,"castling, en passant"
Given chess position: 2r3k1/5ppp/p7/8/8/4Q3/PPP2PPP/2K5 w - - 0 1. What is the best move? Answer:,e3e8
Given chess position: 2r3k1/5ppp/p7/8/8/4Q3/PPP2PPP/2K5 w - - 0 1. What is the best move? Answer:,e3e8
Given chess position: 8/8/8/8/8/8/KP6/k7 w - - 0 1. What is the best move? Answer:,b2b4
Given chess position: r1bqkbnr/ppp2p2/2npp2p/1P4p1/2P1P3/3B1P2/P2P2PP/RNBQK1NR b KQkq - 0 6. What special moves are available? Answer:,castling
Given chess position: 2r3k1/5ppp/p7/8/8/4Q3/PPP2PPP/2K5 w - - 0 1. What is the best move? Answer:,e3e8
Given chess position: rnb2b1r/ppqkp1pp/3p1p1n/2p5/P1P5/N5P1/1P1PPP1P/R1BQKBNR w KQ - 0 8. What special moves are available? Answer:,castling
Given chess position: 1rbq1bnr/ppp1k1pp/n3pp2/1N1p4/P1B1P1P1/2P5/1P1P1P1P/R1BQK1NR b KQ - 0 7. Is the move a6b4 legal? Answer:,legal
Given chess position: rn1q1b1r/p1p2ppp/2Bpk3/3np3/4P3/2P4b/PP1P1PPP/R1BQK2R w KQ - 1 12. What special moves are available? Answer:,castling
Given chess position: 2r3k1/5ppp/p7/8/8/4Q3/PPP2PPP/2K5 w - - 0 1. What is the best move? Answer:,e3e8
Given chess position: rn1qkbB1/1b1pp3/2p2pN1/7r/p3P3/1PN4p/P1PP1PPP/R1BK3R w - - 1 16. What special moves are available? Answer:,none
Given chess position: rnq2bnr/p2kppp1/b2p4/1pp4p/4P2P/1P3P2/P1PPB1PR/RNBQ1KN1 w - - 4 8. What special moves are available? Answer:,none
Given chess position: 8/8/8/8/8/8/KP6/k7 w - - 0 1. What is the best move? Answer:,b2b4
Given chess position: 8/8/8/8/8/8/KP6/k7 w - - 0 1. What is the best move? Answer:,b2b4
Given chess position: 1nbqkbnr/rp1pppp1/p6p/8/2p1PP2/1P6/P1PPK1PP/RNBQ1BNR b k - 1 6. What special moves are available? Answer:,castling
Given chess position: 1rb1kb1r/1p1pnpp1/4q2n/p1p1p1p1/4P3/N2P1PP1/PPP3QP/1RB1KBR1 w k - 4 14. What special moves are available? Answer:,castling
Given chess position: rnqr4/2Pbkppp/p3p3/1p6/1P3Pn1/P3B3/R1P1P1PP/4KBNR b K - 2 15. Is the move a6a5 legal? Answer:,legal
Given chess position: 1rbqkb1r/pp1ppp2/B1p2np1/1N5p/Pn1P3P/1P2PP2/1BQ3P1/R4KNR b - - 2 14. What special moves are available? Answer:,none
Given chess position: 1rbq1bnr/1pp1p3/p2k2pp/3p1PP1/1n1P1P2/B2Q3P/P1P5/RN2KBNR b KQ - 0 11. Is the move h6g5 legal? Answer:,legal
Given chess position: 1nb1k1n1/rp1pbppr/3B4/pp4qN/1P2P2p/3P1P1P/P1P2KP1/RN1Q3R b - - 0 15. What special moves are available? Answer:,none
Given chess position: r1b1kbr1/pp1ppp1p/n7/2P1qnp1/3P4/N3BPPB/P1P1P2P/R2QK2R w KQq - 4 13. Is the move a1h8 legal? Answer:,illegal
Given chess position: rn1qkbnr/p1pb1p2/3p4/1p2p2p/1P1P1pP1/2P1PP1P/P3K3/RNQ2BNR w q - 2 13. Is the move a1h8 legal? Answer:,illegal
Given chess position: 2r3k1/5ppp/p7/8/8/4Q3/PPP2PPP/2K5 w - - 0 1. What is the best move? Answer:,e3e8
Given chess position: r2qkbnr/p2np3/bp3ppp/2pp4/N4N1P/3P1PP1/PPPBP3/R2QKB1R b KQkq - 3 9. What special moves are available? Answer:,castling
Given chess position: 2r3k1/5ppp/p7/8/8/4Q3/PPP2PPP/2K5 w - - 0 1. What is the best move? Answer:,e3e8
Given chess position: rnbq1bn1/ppNpkp2/2p1p2r/6pp/1P5P/5P2/P1PPP1P1/R1BQKBNR w KQ - 2 7. What special moves are available? Answer:,castling
Given chess position: 2bqkb1r/rp1pp1pp/2p2n2/p2P4/P1P1P3/2NQ3P/1P4P1/R2K1BNR b k - 1 14. What special moves are available? Answer:,castling
Given chess position: r1bqk2r/ppppppbp/nB4p1/8/4n3/PP3N2/2PPPPPP/RN1QKB1R b KQkq - 3 6. What special moves are available? Answer:,castling
Given chess position: r1bk1bn1/p1pn1pp1/3pp3/1p3P1p/P1BN2r1/2N1P3/1PPP3P/R1BQK2R b KQ - 0 14. What special moves are available? Answer:,"castling, en passant"
Given chess position: r1bqkbnr/p1pp1p1p/1pn3p1/4p3/2BP2P1/4P3/PPP2P1P/RNBQ1KNR w kq - 0 6. Is the move a1h8 legal? Answer:,illegal
Given chess position: rnn1kb1r/N5pN/b1p2p2/3pp3/6P1/7P/1PPKPP1R/1RBQ1B2 b kq - 0 15. Is the move a1h8 legal? Answer:,illegal
Given chess position: rnbqkb1r/1pp1p2p/3p1ppn/p3B3/6PP/1P6/P1PPPP2/RN1QKBNR b KQkq - 0 6. What special moves are available? Answer:,castling
Given chess position: 8/8/8/8/8/8/KP6/k7 w - - 0 1. What is the best move? Answer:,b2b4
Given chess position: r1bqk2r/pppp1p1p/n2b4/6P1/P3p3/3PPQ2/1PPK2Pn/RNB2BNR w kq - 0 10. What special moves are available? Answer:,castling
Given chess position: 8/8/8/8/8/8/KP6/k7 w - - 0 1. What is the best move? Answer:,b2b4
Given chess position: 2r3k1/5ppp/p7/8/8/4Q3/PPP2PPP/2K5 w - - 0 1. What is the best move? Answer:,e3e8
Given chess position: r1b1kbnr/1p1p2p1/p4p1p/q1pPp3/2n2BP1/1PP2P1P/P3PR2/RN1QKBN1 b Qkq - 3 10. Is the move h6h5 legal? Answer:,legal
Given chess position: r2qkbnr/N1p1np1p/1p4p1/3ppb2/6P1/3P3N/PPPKPP1P/R1BQ1B1R w kq - 1 8. What special moves are available? Answer:,castling
Given chess position: r1bqk1n1/pp1n2br/2p1pp2/3P2p1/P7/3Q4/1PNPPPPP/1RB1KBNR b Kq - 0 9. Is the move g7h6 legal? Answer:,legal
Given chess position: 1rb1k2b/ppq2p1r/n1pp1npp/4pP2/1QPPP1P1/7P/PP1N4/R1B1KBNR w KQ - 2 14. Is the move a1h8 legal? Answer:,illegal
Given chess position: rnb2b1r/p1p1kp1p/4p2n/2Pp2N1/3P2q1/P2QP1PB/1Pp2P1P/R1B1K2R w KQ - 3 16. What special moves are available? Answer:,castling
Given chess position: rn1k1bnr/p3q1pp/1p2pp2/1Ppp4/P4P2/2P4N/1R1PP1PP/1NBQ1BKR b - - 1 12. Is the move a1h8 legal? Answer:,illegal
Given chess position: 2r3k1/5ppp/p7/8/8/4Q3/PPP2PPP/2K5 w - - 0 1. What is the best move? Answer:,e3e8
Given chess position: 8/8/8/8/8/8/KP6/k7 w - - 0 1. What is the best move? Answer:,b2b4
Given chess position: rnb3qr/p1pk1pbp/3p3n/1p2P1p1/8/PQ2PN2/1PPK1PPP/RNB2B1R w - - 3 9. Is the move f3g5 legal? Answer:,legal
Given chess position: rnb2bnr/pp1p1kp1/1q3p2/2p1p2p/P2P4/4PPPN/1PP4P/RNBQKBR1 b Q - 0 9. Is the move h5h4 legal? Answer:,legal
Given chess position: rnb1kbr1/1p1pp2p/p1p2n2/1q4p1/1P3N2/4PpP1/PBPP1P1P/RN1QKB1R w KQq - 4 11. What special moves are available? Answer:,castling
Given chess position: r1b1kr2/2p1bpnp/1pn5/p1Pq3P/3P2p1/7N/PPQ1PKP1/RNB2B1R w q - 5 15. Is the move a1h8 legal? Answer:,illegal
Given chess position: rnbqkb2/1p1p1p2/p1p1pn1r/6pp/PP1P4/2N1BP2/2PQP1PP/R3KBNR b KQq - 0 8. What special moves are available? Answer:,castling
Given chess position: rnbqkbnr/1p2pp1p/p5p1/3pP3/3p4/N4P2/PPP3PP/R1BQKBNR w KQkq - 0 6. What special moves are available? Answer:,castling
Given chess position: rn1qkbnr/p1p1p1pp/1p6/3p1b2/4P2N/N5p1/PPPP1P1P/1RBQKB1R w Kkq - 2 7. Is the move f2f4 legal? Answer:,legal
Given chess position: rnb1kb1r/1p1qpppp/B1pp1P2/p6P/P3P1n1/6PR/1PPP4/RNBQK1N1 b Qkq - 4 11. Is the move a1h8 legal? Answer:,illegal
Given chess position: r1b1kbnr/ppppqpp1/2n5/1N2p1Bp/8/PP1P4/2P1PPPP/R2QKBNR b KQkq - 0 6. Is the move a1h8 legal? Answer:,illegal
Given chess position: 8/8/8/8/8/8/KP6/k7 w - - 0 1. What is the best move? Answer:,b2b4
Given chess position: 2r3k1/5ppp/p7/8/8/4Q3/PPP2PPP/2K5 w - - 0 1. What is the best move? Answer:,e3e8
Given chess position: 8/8/8/8/8/8/KP6/k7 w - - 0 1. What is the best move? Answer:,b2b4
Given chess position: rn1qk1nr/pQ1bbp1p/2p3p1/3p4/P3p1P1/R1P4P/1P1PPP2/1NB1KBNR b Kkq - 1 11. Is the move e7g5 legal? Answer:,legal
Given chess position: 2r3k1/5ppp/p7/8/8/4Q3/PPP2PPP/2K5 w - - 0 1. What is the best move? Answer:,e3e8
Given chess position: 8/8/8/8/8/8/KP6/k7 w - - 0 1. What is the best move? Answer:,b2b4
Given chess position: 2r3k1/5ppp/p7/8/8/4Q3/PPP2PPP/2K5 w - - 0 1. What is the best move? Answer:,e3e8
Given chess position: rnbqk2r/1ppp1pp1/pb3n1p/4p3/1P4P1/2P1PN2/P2P1P1P/RNBQKB1R w KQkq - 1 7. Is the move d1e2 legal? Answer:,legal
Given chess position: r1b1k1r1/p2p1ppp/n2bp3/1Pp4n/3P1P1q/1P1Q4/P3PNPR/RNB1KB2 b Qq - 1 10. Is the move d6b8 legal? Answer:,legal
Given chess position: r1b1kb1r/p3qppp/nppppn2/8/2P5/PP3P2/2NPPNPP/R1BQKB1R b KQkq - 0 8. What special moves are available? Answer:,castling
Given chess position: rn1qkbn1/1bpp2pr/p3p3/1P5p/RP2p1Q1/6P1/2PP1P1P/1NB1KBNR w Kq - 0 9. What special moves are available? Answer:,castling
Given chess position: rnb1kr2/1p1pnp1p/2p1p1pQ/p5qP/8/1PP4R/PB2PPP1/RN2KBN1 w Qq - 1 10. Is the move a1h8 legal? Answer:,illegal
Given chess position: r1b3nr/ppk2pb1/n3pq1p/2p3p1/2Pp4/P2P2PN/RP1BPPRP/1N1QKB2 w - - 6 13. What special moves are available? Answer:,none
Given chess position: 2r3k1/5ppp/p7/8/8/4Q3/PPP2PPP/2K5 w - - 0 1. What is the best move? Answer:,e3e8
Given chess position: r1bqkbr1/pp1ppppp/n6n/2p5/3N1PP1/3P4/PPP1P2P/RNBQKB1R w KQq - 1 6. What special moves are available? Answer:,castling
Given chess position: r1bqkb1r/pp1npp1p/5np1/P1p1N3/3p2PP/R2P4/1PP1PP2/1NBQKB1R w Kkq - 3 9. What special moves are available? Answer:,castling
Given chess position: 8/8/8/8/8/8/KP6/k7 w - - 0 1. What is the best move? Answer:,b2b4
Given chess position: 8/8/8/8/8/8/KP6/k7 w - - 0 1. What is the best move? Answer:,b2b4
Given chess position: rnbq1b1r/p1k3pp/1p2p2n/2p2p2/PPPp4/3PP3/R2Q1PPP/1NB1KBNR w K - 0 10. What special moves are available? Answer:,"castling, en passant"
Given chess position: r3kb1r/p1p1pppp/6Q1/1p1pn2n/3P1Pq1/2P4P/PP1NP3/R1B1KBNR w Qkq - 2 11. What special moves are available? Answer:,castling
Given chess position: 1n2kqnr/r1pp1p2/b6p/p1b1P1p1/p1P1P1P1/3B4/1P1P3P/RNBQK1NR w KQ - 1 15. Is the move a1h8 legal? Answer:,illegal
Given chess position: 2r3k1/5ppp/p7/8/8/4Q3/PPP2PPP/2K5 w - - 0 1. What is the best move? Answer:,e3e8
Given chess position: rn1qkbnr/p1p1pppp/3p4/3b4/pPP5/6PN/P2PPP1P/RNB1KB1R w KQkq - 0 6. What special moves are available? Answer:,castling
Given chess position: 3r1bnr/3bp1p1/1q2k3/pppp1p1p/1n1P1P2/2P3PP/PBN1PR2/R2QKBN1 w Q - 0 16. Is the move a1h8 legal? Answer:,illegal
Given chess position: rnbqkbnr/3ppp2/p1p3p1/1p2NP1p/P3P3/6P1/1PPPB2P/RNBQK2R b KQk - 0 8. What special moves are available? Answer:,castling
Given chess position: rnb1k1nr/ppp1qp2/3p1b2/4p1pp/5PPP/PP1P4/R1P1P1B1/1NBQ1KNR b - - 5 11. Is the move a1h8 legal? Answer:,illegal
Given chess position: rn3b2/p2ppkpr/b7/1ppP1p1p/2P2Pn1/1P6/PBNKP1PP/R4BNR w - - 1 14. Is the move a1c1 legal? Answer:,legal
Given chess position: rnb1kbnr/p1q1ppp1/2p5/1p1p3p/P4P2/2NPP2P/RPP1N1P1/2BQKB1R b K - 0 8. What special moves are available? Answer:,castling
Given chess position: 8/8/8/8/8/8/KP6/k7 w - - 0 1. What is the best move? Answer:,b2b4
Given chess position: 2r3k1/5ppp/p7/8/8/4Q3/PPP2PPP/2K5 w - - 0 1. What is the best move? Answer:,e3e8
Given chess position: rnb1qb1r/ppp1ppp1/4kn1p/8/3p4/PQP1P3/1P1PBPPP/RNB1K1NR b KQ - 1 8. Is the move e6d7 legal? Answer:,legal
Given chess position: B2qkbn1/p2pp2r/b1p3pp/1p3pP1/PPP2n2/3P3P/4P3/RNBQK1NR w KQ - 1 12. Is the move a1h8 legal? Answer:,illegal
Given chess position: rnb1kbnr/ppp1p1p1/5p2/3p3p/N2PPqP1/3B3P/PPP2P2/R1BQK1NR b KQkq - 3 10. What special moves are available? Answer:,castling
Given chess position: 2r3k1/5ppp/p7/8/8/4Q3/PPP2PPP/2K5 w - - 0 1. What is the best move? Answer:,e3e8
Given chess position: 2r3k1/5ppp/p7/8/8/4Q3/PPP2PPP/2K5 w - - 0 1. What is the best move? Answer:,e3e8
Given chess position: 1nbqkbr1/rp1p2pp/p3p2n/2p4P/4pP1R/P1NPKQP1/1PP5/R1B2BN1 w - - 0 13. Is the move c3b5 legal? Answer:,legal
Given chess position: rn1q1rk1/pp2ppbp/B5p1/2pp4/6nP/3PPNP1/PPPN1P1R/R1BQK3 w Q - 1 11. Is the move a1h8 legal? Answer:,illegal
Given chess position: r1b3nr/p2pk2p/1pp1p2b/n1P2pp1/1PQ2PBP/3P3R/PB2P3/RN2K1N1 b Q - 1 15. What special moves are available? Answer:,castling
Given chess position: r1b4r/1pp1bkpp/p1np2N1/4pp2/1nP1P3/N7/PP1PBPRP/R1BQK3 w - - 1 16. Is the move f2f3 legal? Answer:,legal
Given chess position: 2r3k1/5ppp/p7/8/8/4Q3/PPP2PPP/2K5 w - - 0 1. What is the best move? Answer:,e3e8
Given chess position: rnbq1bnr/pp1k2p1/3Np2p/2p1Pp2/8/2P4P/PP1PP1PR/R1B1KBN1 b Q - 0 10. What special moves are available? Answer:,castling
Given chess position: 8/8/8/8/8/8/KP6/k7 w - - 0 1. What is the best move? Answer:,b2b4
Given chess position: rn1qkbr1/pb1p2p1/2p5/1p2Np1p/2P1PB1P/3P2n1/PP4PR/2RQKBN1 b q - 0 13. Is the move a1h8 legal? Answer:,illegal
Given chess position: r1bq1bnr/ppppk1pp/8/3P4/1nP5/1P6/P3PPPP/RN1QKBNR b KQ - 0 7. What special moves are available? Answer:,castling
Given chess position: rn1qkbnr/p1p1p3/3pb2p/1p3pp1/P7/RPP2N2/3PPPPP/1NBQKB1R b Kkq - 1 7. What special moves are available? Answer:,castling
Given chess position: rnb2k1r/2pq2b1/3pp2n/pp2NPpQ/7P/N1P5/PPBP1PPR/R1B1K3 b Q - 4 13. What special moves are available? Answer:,castling
Given chess position: rnb4r/pp1qk1bp/2p1p3/3p1p2/1P1P1P2/7P/P1P1P1P1/RN1QKBNR w KQ - 0 9. Is the move e2e3 legal? Answer:,legal
Given chess position: 2r3k1/5ppp/p7/8/8/4Q3/PPP2PPP/2K5 w - - 0 1. What is the best move? Answer:,e3e8
Given chess position: 1nbq1b1r/rpppp1pp/5k1n/p4p2/2PP1P1P/N7/PP2P1P1/1R1QKBNR w K - 1 8. Is the move a1h8 legal? Answer:,illegal
Given chess position: rnbq1bnr/pppppk2/6p1/6Pp/P4p2/1PP4N/3PPP1P/RNBQKB1R b KQ - 0 6. What special moves are available? Answer:,castling
Given chess position: 1nbqkb1r/rpp1Np1p/3p1n2/p3p1p1/P6P/1P6/2PPPPP1/R1BQKBNR w KQk - 0 7. What special moves are available? Answer:,castling
Given chess position: r1bqkb1r/ppppp1pp/2n2p1n/8/P4P2/2NP2P1/1PP1P2P/R1BQKBNR w KQkq - 1 6. Is the move a1h8 legal? Answer:,illegal
Given chess position: 2r3k1/5ppp/p7/8/8/4Q3/PPP2PPP/2K5 w - - 0 1. What is the best move? Answer:,e3e8
Given chess position: 2r3k1/5ppp/p7/8/8/4Q3/PPP2PPP/2K5 w - - 0 1. What is the best move? Answer:,e3e8
Given chess position: 8/8/8/8/8/8/KP6/k7 w - - 0 1. What is the best move? Answer:,b2b4
Given chess position: 2r3k1/5ppp/p7/8/8/4Q3/PPP2PPP/2K5 w - - 0 1. What is the best move? Answer:,e3e8
Given chess position: 8/8/8/8/8/8/KP6/k7 w - - 0 1. What is the best move? Answer:,b2b4
Given chess position: rnb4r/2p2kpp/p1Pb1p2/3ppn2/Pp3PP1/B3PN2/N1PP3P/RQ2KB1R b KQ - 0 15. What special moves are available? Answer:,castling
Given chess position: n3kbnr/5ppp/rpp5/3pp1q1/p1PP2bP/NP3QPR/P2BPPB1/R3K1N1 w Qk - 0 16. Is the move a1h8 legal? Answer:,illegal
Given chess position: 2r3k1/5ppp/p7/8/8/4Q3/PPP2PPP/2K5 w - - 0 1. What is the best move? Answer:,e3e8
Given chess position: rnb2b1r/pppp2pp/5k1n/4pp2/1P6/2P1q3/PBNPPPPP/R3KBNR b KQ - 3 10. Is the move g7g5 legal? Answer:,legal
Given chess position: r3kb1r/pbppqp1p/np2p2n/5PP1/8/P3P3/1PPP2P1/RNBQKBNR w Qkq - 3 10. Is the move e1e2 legal? Answer:,legal
Given chess position: r1bqkbn1/1pppp3/n5pr/p3P2p/5p2/1P2Q2P/P1PP1PP1/RNB1KBNR b KQq - 2 9. What special moves are available? Answer:,castling
Given chess position: rnbqkb1r/7p/ppppp2n/6p1/2P1P1PP/2N5/PP1PQ1B1/R1B1K1NR w KQ - 0 14. Is the move a1h8 legal? Answer:,illegal
Given chess position: r3kb1r/p1qpp1pp/3n1pPn/1bpN4/2pP1B2/3Q3N/PP2PP1P/R3KB1R w KQkq - 4 14. What special moves are available? Answer:,castling
Given chess position: rnbk1bnr/p4pp1/8/1pppp2p/6PN/PP6/R1PPPP1P/1NBQKBR1 b - - 2 8. What special moves are available? Answer:,none
Given chess position: r1b1k1nr/pppp1p2/2n1p1pp/P5P1/3B4/1qN2N1B/2PPPP1P/R2QK1R1 w Qkq - 0 15. What special moves are available? Answer:,castling
Given chess position: r1bqkb1r/5ppp/ppn1pn2/2pp4/P1P1P3/3P3P/RP1B1PP1/1N1QKBNR w Kkq - 0 8. What special moves are available? Answer:,"castling, en passant"
Given chess position: r1b1kb1r/p1pp1ppp/n2n4/1p2p3/1q4NN/PP3PPP/2PPP3/R1BQKB1R w KQkq - 1 12. What special moves are available? Answer:,castling
Given chess position: rnb3nr/2qppk1p/5p1b/p1p5/Pp1P1pP1/4P3/1PPKBP1P/RN1Q3R w - - 2 15. What special moves are available? Answer:,none
Given chess position: 2r3k1/5ppp/p7/8/8/4Q3/PPP2PPP/2K5 w - - 0 1. What is the best move? Answer:,e3e8
Given chess position: 2bk1bnr/1ppn1p1p/r3p3/p2p2q1/3P4/NPP2N1P/PB2PKP1/R2Q1B1R w - - 0 13. Is the move a1h8 legal? Answer:,illegal
Given chess position: 1rq2bn1/1p1npkpr/p1p2pb1/7p/1P1p1P1P/P1PP2P1/4P3/RNBQK1NR b KQ - 3 15. Is the move a1h8 legal? Answer:,illegal
Given chess position: 8/8/8/8/8/8/KP6/k7 w - - 0 1. What is the best move? Answer:,b2b4
Given chess position: rnbqkbr1/1p2ppnp/p2p2p1/2p5/1PPN1P2/7N/PB1PP1PP/R2QKB1R b KQq - 0 9. Is the move a1h8 legal? Answer:,illegal
Given chess position: 8/8/8/8/8/8/KP6/k7 w - - 0 1. What is the best move? Answer:,b2b4
Given chess position: 2r3k1/5ppp/p7/8/8/4Q3/PPP2PPP/2K5 w - - 0 1. What is the best move? Answer:,e3e8
Given chess position: 8/8/8/8/8/8/KP6/k7 w - - 0 1. What is the best move? Answer:,b2b4
Given chess position: 2r3k1/5ppp/p7/8/8/4Q3/PPP2PPP/2K5 w - - 0 1. What is the best move? Answer:,e3e8
Given chess position: r1Qq2nr/2ppk2p/7b/1p2ppp1/1P1n2P1/2P5/P3PK1P/RNB2BNR w - - 2 11. What special moves are available? Answer:,none
Given chess position: 2r3k1/5ppp/p7/8/8/4Q3/PPP2PPP/2K5 w - - 0 1. What is the best move? Answer:,e3e8
Given chess position: 8/8/8/8/8/8/KP6/k7 w - - 0 1. What is the best move? Answer:,b2b4
Given chess position: r2qkbr1/ppp1p2p/3p1p1n/P4bp1/8/1P1P1N1P/R1P1PPP1/2BQKB1R w Kq - 1 10. Is the move e2e4 legal? Answer:,legal
Given chess position: rnbqkb1r/p1pppp2/7n/1p4pp/NP1P4/3Q2B1/P1P1PPPP/3RKBNR w Kq - 2 9. Is the move a1h8 legal? Answer:,illegal
Given chess position: r1bq1k1r/1p1p1p1p/n2b4/p1p1p1p1/P3P3/1P1BK1P1/2PP1P1n/RNB2QNR w - - 1 11. What special moves are available? Answer:,none
Given chess position: r2q1k1r/1b1p1pp1/p1Q1p3/1pP2Pbp/PP2n2P/4B1PN/2PNP3/R3KBR1 w Q - 0 15. What special moves are available? Answer:,castling
Given chess position: r3kbnr/1bp1p1p1/np2q1p1/3p1p2/pPPP4/4PP2/PB1K3P/RN1Q1BNR b kq - 1 14. What special moves are available? Answer:,castling
Given chess position: rnbqkb1r/pp1pnp2/6p1/2p1p2p/4P3/1PP2PP1/P2P2BP/RNBQK1NR w KQkq - 0 7. What special moves are available? Answer:,castling
Given chess position: 2r3k1/5ppp/p7/8/8/4Q3/PPP2PPP/2K5 w - - 0 1. What is the best move? Answer:,e3e8
Given chess position: rn2kbn1/pp2pp2/3B2pr/q1p4p/2P5/1PNP3b/P2NPP1P/R2QKB1R w KQq - 2 12. What special moves are available? Answer:,castling
Given chess position: 1nb1kbnr/rpp2ppp/3q4/p2pp3/1P4PP/P1P5/R2PPPB1/1NBQK1NR b Kk - 0 10. Is the move a1h8 legal? Answer:,illegal
Given chess position: 8/8/8/8/8/8/KP6/k7 w - - 0 1. What is the best move? Answer:,b2b4
Given chess position: 1rbqk1r1/1pppb1p1/7n/p3PP2/n1P5/1P3P1p/N2BP2P/RQ2KBNR w KQ - 1 15. What special moves are available? Answer:,castling
Given chess position: rn1qk1nr/1b3pp1/3bp3/pPpp3p/8/3BPQ2/PP1P1PPP/RNB1K1NR b KQkq - 0 9. Is the move c5c4 legal? Answer:,legal
Given chess position: 2r3k1/5ppp/p7/8/8/4Q3/PPP2PPP/2K5 w - - 0 1. What is the best move? Answer:,e3e8
Given chess position: 1nb2b1r/rppp1ppp/p2k1n2/3P4/3Q3P/N3qP2/PPP1PKP1/4RBNR w - - 0 13. What special moves are available? Answer:,none
Given chess position: r1bqk2r/p1ppppbp/n5p1/1p6/QP2P1nP/2P2PR1/P2P4/RNB1KBN1 w Qkq - 0 11. Is the move g1e2 legal? Answer:,legal
Given chess position: r2qk1nr/n1p4p/b2p3b/pP3pp1/2PPp3/1P2Q1PN/1R2PP1P/1NB1KB1R w Kkq - 0 16. Is the move a1h8 legal? Answer:,illegal
Given chess position: 2r3k1/5ppp/p7/8/8/4Q3/PPP2PPP/2K5 w - - 0 1. What is the best move? Answer:,e3e8
Given chess position: 2r3k1/5ppp/p7/8/8/4Q3/PPP2PPP/2K5 w - - 0 1. What is the best move? Answer:,e3e8
Given chess position: rnbq2nr/p1ppp1kp/1p5b/5pp1/PP6/B1NP1PPB/2P1P2P/R2QK1NR b KQ - 1 8. What special moves are available? Answer:,castling
